id,qr_code_uid,qr_code_name
B001275-capitol,2017/03/19/4xvwrtya7j_B001275_capitol.png,B001275-capitol.png
R000409-capitol,2017/03/19/1g4v7wg8ca_R000409_capitol.png,R000409-capitol.png
R000591-capitol,2017/03/19/81j4p4daqq_R000591_capitol.png,R000591-capitol.png
R000592-capitol,2017/03/19/8rqermkmpn_R000592_capitol.png,R000592-capitol.png
R000580-capitol,2017/03/19/82x8ns2cyy_R000580_capitol.png,R000580-capitol.png
R000593-capitol,2017/03/19/97vkx07e34_R000593_capitol.png,R000593-capitol.png
T000465-capitol,2017/03/19/5kyy4bbex4_T000465_capitol.png,T000465-capitol.png
T000463-capitol,2017/03/19/5vrpwy28cs_T000463_capitol.png,T000463-capitol.png
V000128-capitol,2017/03/19/2310qs8ngb_V000128_capitol.png,V000128-capitol.png
V000108-capitol,2017/03/19/31ev1edben_V000108_capitol.png,V000108-capitol.png
W000798-capitol,2017/03/19/5j5tcqofc7_W000798_capitol.png,W000798-capitol.png
W000187-capitol,2017/03/19/3u7m11r1gp_W000187_capitol.png,W000187-capitol.png
W000806-capitol,2017/03/19/5ldjf4ex1r_W000806_capitol.png,W000806-capitol.png
W000804-capitol,2017/03/19/22875xobnr_W000804_capitol.png,W000804-capitol.png
W000779-capitol,2017/03/19/3ho5apram5_W000779_capitol.png,W000779-capitol.png
W000800-capitol,2017/03/19/2163cyanu4_W000800_capitol.png,W000800-capitol.png
A000369-capitol,2017/03/19/3hl7bqgy0f_A000369_capitol.png,A000369-capitol.png
W000795-capitol,2017/03/19/7aq3a5yf7h_W000795_capitol.png,W000795-capitol.png
W000809-capitol,2017/03/19/7k5rkwmo2v_W000809_capitol.png,W000809-capitol.png
D000617-capitol,2017/03/19/yxylqoluw_D000617_capitol.png,D000617-capitol.png
P000604-capitol,2017/03/19/9gttyhi2p_P000604_capitol.png,P000604-capitol.png
F000454-capitol,2017/03/19/7haz2jklze_F000454_capitol.png,F000454-capitol.png
T000238-capitol,2017/03/19/6zp8fqo0he_T000238_capitol.png,T000238-capitol.png
T000193-capitol,2017/03/19/7dj9ypxkix_T000193_capitol.png,T000193-capitol.png
L000578-capitol,2017/03/19/3eps7m5azu_L000578_capitol.png,L000578-capitol.png
B001287-capitol,2017/03/19/69oeifyu7q_B001287_capitol.png,B001287-capitol.png
B001285-capitol,2017/03/19/73pou2ms4x_B001285_capitol.png,B001285-capitol.png
C001097-capitol,2017/03/19/6jn5dgvkwj_C001097_capitol.png,C001097-capitol.png
C000059-capitol,2017/03/19/6gk4olvaoi_C000059_capitol.png,C000059-capitol.png
T000250-capitol,2017/03/19/hoythzx4e_T000250_capitol.png,T000250-capitol.png
S000320-capitol,2017/03/19/26lhlhlyjh_S000320_capitol.png,S000320-capitol.png
T000462-capitol,2017/03/19/22qhrszrqj_T000462_capitol.png,T000462-capitol.png
T000469-capitol,2017/03/19/73fot8c4yr_T000469_capitol.png,T000469-capitol.png
T000461-capitol,2017/03/19/1crxt0dpbe_T000461_capitol.png,T000461-capitol.png
B001286-capitol,2017/03/19/1fjshv4eo0_B001286_capitol.png,B001286-capitol.png
B001284-capitol,2017/03/19/4zc7fxw0ua_B001284_capitol.png,B001284-capitol.png
V000130-capitol,2017/03/19/7gefuzbjxf_V000130_capitol.png,V000130-capitol.png
M001189-capitol,2017/03/19/865eiogzug_M001189_capitol.png,M001189-capitol.png
B001282-capitol,2017/03/19/344ptly0cu_B001282_capitol.png,B001282-capitol.png
K000379-capitol,2017/03/19/90vvb0fdry_K000379_capitol.png,K000379-capitol.png
D000620-capitol,2017/03/19/3h9ltrna32_D000620_capitol.png,D000620-capitol.png
C001096-capitol,2017/03/19/4riv3kq5f6_C001096_capitol.png,C001096-capitol.png
K000383-capitol,2017/03/19/5lbe38n4xa_K000383_capitol.png,K000383-capitol.png
K000380-capitol,2017/03/19/8z0vzjys1j_K000380_capitol.png,K000380-capitol.png
D000618-capitol,2017/03/19/fcrjyaul9_D000618_capitol.png,D000618-capitol.png
S001193-capitol,2017/03/19/9l1oemfvrb_S001193_capitol.png,S001193-capitol.png
K000382-capitol,2017/03/19/6mzlsqk1kp_K000382_capitol.png,K000382-capitol.png
M001185-capitol,2017/03/19/3rvjvn9jh0_M001185_capitol.png,M001185-capitol.png
P000608-capitol,2017/03/19/1c3wlaxxz6_P000608_capitol.png,P000608-capitol.png
C001095-capitol,2017/03/19/1ikolphxh8_C001095_capitol.png,C001095-capitol.png
T000468-capitol,2017/03/19/2i5br2e4ee_T000468_capitol.png,T000468-capitol.png
C001092-capitol,2017/03/19/6kkyu4850i_C001092_capitol.png,C001092-capitol.png
J000295-capitol,2017/03/19/30cpniqt5v_J000295_capitol.png,J000295-capitol.png
B001283-capitol,2017/03/19/1zvx2fvx9t_B001283_capitol.png,B001283-capitol.png
P000605-capitol,2017/03/19/2yy7o3571r_P000605_capitol.png,P000605-capitol.png
R000598-capitol,2017/03/19/3nat75oz4c_R000598_capitol.png,R000598-capitol.png
C001051-capitol,2017/03/19/2675pfcbew_C001051_capitol.png,C001051-capitol.png
E000293-capitol,2017/03/19/1nqjkd78ce_E000293_capitol.png,E000293-capitol.png
H001041-capitol,2017/03/19/31lnr7gw1i_H001041_capitol.png,H001041-capitol.png
C001093-capitol,2017/03/19/1exvqt898p_C001093_capitol.png,C001093-capitol.png
G000571-capitol,2017/03/19/66nqwodzg3_G000571_capitol.png,G000571-capitol.png
D000622-capitol,2017/03/19/3xtt93l1i4_D000622_capitol.png,D000622-capitol.png
S001195-capitol,2017/03/19/8yy3e8ejzo_S001195_capitol.png,S001195-capitol.png
B001288-capitol,2017/03/19/68yylwqr1b_B001288_capitol.png,B001288-capitol.png
C001101-capitol,2017/03/19/9kx56h2bmt_C001101_capitol.png,C001101-capitol.png
A000370-capitol,2017/03/19/4epjyxwqws_A000370_capitol.png,A000370-capitol.png
O000170-capitol,2017/03/19/89b9b92l05_O000170_capitol.png,O000170-capitol.png
B001290-capitol,2017/03/19/7khsu71jn6_B001290_capitol.png,B001290-capitol.png
M001197-capitol,2017/03/19/12ogd0k93r_M001197_capitol.png,M001197-capitol.png
A000371-capitol,2017/03/19/5aamw6h1mb_A000371_capitol.png,A000371-capitol.png
W000814-capitol,2017/03/19/7ilv54c87q_W000814_capitol.png,W000814-capitol.png
W000816-capitol,2017/03/19/72lhc09w92_W000816_capitol.png,W000816-capitol.png
P000607-capitol,2017/03/19/8aydlgz7il_P000607_capitol.png,P000607-capitol.png
W000821-capitol,2017/03/19/5y2ljucc6g_W000821_capitol.png,W000821-capitol.png
K000387-capitol,2017/03/19/2xie2fdeo7_K000387_capitol.png,K000387-capitol.png
T000474-capitol,2017/03/19/2oww9lqegr_T000474_capitol.png,T000474-capitol.png
R000597-capitol,2017/03/19/rkwdnck57_R000597_capitol.png,R000597-capitol.png
B001297-capitol,2017/03/19/3day48rr6n_B001297_capitol.png,B001297-capitol.png
C001103-capitol,2017/03/19/9tdbc4xq0m_C001103_capitol.png,C001103-capitol.png
L000583-capitol,2017/03/19/3k9v7506r6_L000583_capitol.png,L000583-capitol.png
B001295-capitol,2017/03/19/ea6wmgzse_B001295_capitol.png,B001295-capitol.png
P000611-capitol,2017/03/19/5xgqk9q12d_P000611_capitol.png,P000611-capitol.png
M001194-capitol,2017/03/19/7ok8d79vky_M001194_capitol.png,M001194-capitol.png
B001293-capitol,2017/03/19/88swfprrzc_B001293_capitol.png,B001293-capitol.png
C001069-capitol,2017/03/19/5bt59k7pbw_C001069_capitol.png,C001069-capitol.png
C001091-capitol,2017/03/19/1062gh9tlk_C001091_capitol.png,C001091-capitol.png
F000463-capitol,2017/03/19/184vi9iydh_F000463_capitol.png,F000463-capitol.png
V000131-capitol,2017/03/19/8jhhlwsqti_V000131_capitol.png,V000131-capitol.png
K000384-capitol,2017/03/19/o6pe6e12z_K000384_capitol.png,K000384-capitol.png
K000381-capitol,2017/03/19/2gio9a625d_K000381_capitol.png,K000381-capitol.png
